timestamp,unit,event,zone,speed_m_s,operator,comment
2026-05-27T09:50:14+02:00,LM-104,remote config sync,Halle-3,0.37,remote-admin,
2026-05-27T09:55:14+02:00,LM-105,battery warning,Halle-4,0.54,service,
2026-05-27T10:00:14+02:00,LM-106,route recalculated,Halle-1,0.71,system,
2026-05-27T10:05:14+02:00,LM-107,human detected,Halle-2,0.88,nachtmeister,
2026-05-27T10:10:14+02:00,LM-108,protective field reduced,Halle-3,1.05,remote-admin,Parameter nicht abschließend plausibilisiert
2026-05-27T10:15:14+02:00,LM-100,manual override,Halle-4,1.22,service,
2026-05-27T10:20:14+02:00,LM-101,near miss,Halle-1,0.2,system,
2026-05-27T10:25:14+02:00,LM-102,emergency stop,Halle-2,0.37,nachtmeister,
2026-05-27T10:30:14+02:00,LM-103,remote config sync,Halle-3,0.54,remote-admin,
2026-05-27T10:35:14+02:00,LM-104,battery warning,Halle-4,0.71,service,
2026-05-27T10:40:14+02:00,LM-105,route recalculated,Halle-1,0.88,system,
2026-05-27T10:45:14+02:00,LM-106,human detected,Halle-2,1.05,nachtmeister,
2026-05-27T10:50:14+02:00,LM-107,protective field reduced,Halle-3,1.22,remote-admin,
2026-05-27T10:55:14+02:00,LM-108,manual override,Halle-4,0.2,service,
2026-05-27T11:00:14+02:00,LM-100,near miss,Halle-1,0.37,system,
2026-05-27T11:05:14+02:00,LM-101,emergency stop,Halle-2,0.54,nachtmeister,
2026-05-27T11:10:14+02:00,LM-102,remote config sync,Halle-3,0.71,remote-admin,
2026-05-27T11:15:14+02:00,LM-103,battery warning,Halle-4,0.88,service,Parameter nicht abschließend plausibilisiert
2026-05-27T11:20:14+02:00,LM-104,route recalculated,Halle-1,1.05,system,
2026-05-27T11:25:14+02:00,LM-105,human detected,Halle-2,1.22,nachtmeister,
2026-05-27T11:30:14+02:00,LM-106,protective field reduced,Halle-3,0.2,remote-admin,
2026-05-27T11:35:14+02:00,LM-107,manual override,Halle-4,0.37,service,
2026-05-27T11:40:14+02:00,LM-108,near miss,Halle-1,0.54,system,
2026-05-27T11:45:14+02:00,LM-100,emergency stop,Halle-2,0.71,nachtmeister,
2026-05-27T11:50:14+02:00,LM-101,remote config sync,Halle-3,0.88,remote-admin,
2026-05-27T11:55:14+02:00,LM-102,battery warning,Halle-4,1.05,service,
2026-05-27T12:00:14+02:00,LM-103,route recalculated,Halle-1,1.22,system,
2026-05-27T12:05:14+02:00,LM-104,human detected,Halle-2,0.2,nachtmeister,
2026-05-27T12:10:14+02:00,LM-105,protective field reduced,Halle-3,0.37,remote-admin,
2026-05-27T12:15:14+02:00,LM-106,manual override,Halle-4,0.54,service,
2026-05-27T12:20:14+02:00,LM-107,near miss,Halle-1,0.71,system,Parameter nicht abschließend plausibilisiert
2026-05-27T12:25:14+02:00,LM-108,emergency stop,Halle-2,0.88,nachtmeister,
2026-05-27T12:30:14+02:00,LM-100,remote config sync,Halle-3,1.05,remote-admin,
2026-05-27T12:35:14+02:00,LM-101,battery warning,Halle-4,1.22,service,
2026-05-27T12:40:14+02:00,LM-102,route recalculated,Halle-1,0.2,system,
2026-05-27T12:45:14+02:00,LM-103,human detected,Halle-2,0.37,nachtmeister,
2026-05-27T12:50:14+02:00,LM-104,protective field reduced,Halle-3,0.54,remote-admin,
2026-05-27T12:55:14+02:00,LM-105,manual override,Halle-4,0.71,service,
2026-05-27T13:00:14+02:00,LM-106,near miss,Halle-1,0.88,system,
2026-05-27T13:05:14+02:00,LM-107,emergency stop,Halle-2,1.05,nachtmeister,
2026-05-27T13:10:14+02:00,LM-108,remote config sync,Halle-3,1.22,remote-admin,
2026-05-27T13:15:14+02:00,LM-100,battery warning,Halle-4,0.2,service,
2026-05-27T13:20:14+02:00,LM-101,route recalculated,Halle-1,0.37,system,
2026-05-27T13:25:14+02:00,LM-102,human detected,Halle-2,0.54,nachtmeister,Parameter nicht abschließend plausibilisiert
2026-05-27T13:30:14+02:00,LM-103,protective field reduced,Halle-3,0.71,remote-admin,
2026-05-27T13:35:14+02:00,LM-104,manual override,Halle-4,0.88,service,
2026-05-27T13:40:14+02:00,LM-105,near miss,Halle-1,1.05,system,
2026-05-27T13:45:14+02:00,LM-106,emergency stop,Halle-2,1.22,nachtmeister,
2026-05-27T13:50:14+02:00,LM-107,remote config sync,Halle-3,0.2,remote-admin,
2026-05-27T13:55:14+02:00,LM-108,battery warning,Halle-4,0.37,service,
2026-05-27T14:00:14+02:00,LM-100,route recalculated,Halle-1,0.54,system,
2026-05-27T14:05:14+02:00,LM-101,human detected,Halle-2,0.71,nachtmeister,
2026-05-27T14:10:14+02:00,LM-102,protective field reduced,Halle-3,0.88,remote-admin,
2026-05-27T14:15:14+02:00,LM-103,manual override,Halle-4,1.05,service,
2026-05-27T14:20:14+02:00,LM-104,near miss,Halle-1,1.22,system,
2026-05-27T14:25:14+02:00,LM-105,emergency stop,Halle-2,0.2,nachtmeister,
2026-05-27T14:30:14+02:00,LM-106,remote config sync,Halle-3,0.37,remote-admin,Parameter nicht abschließend plausibilisiert
2026-05-27T14:35:14+02:00,LM-107,battery warning,Halle-4,0.54,service,
2026-05-27T14:40:14+02:00,LM-108,route recalculated,Halle-1,0.71,system,
2026-05-27T14:45:14+02:00,LM-100,human detected,Halle-2,0.88,nachtmeister,
2026-05-27T14:50:14+02:00,LM-101,protective field reduced,Halle-3,1.05,remote-admin,
2026-05-27T14:55:14+02:00,LM-102,manual override,Halle-4,1.22,service,
2026-05-27T15:00:14+02:00,LM-103,near miss,Halle-1,0.2,system,
2026-05-27T15:05:14+02:00,LM-104,emergency stop,Halle-2,0.37,nachtmeister,
2026-05-27T15:10:14+02:00,LM-105,remote config sync,Halle-3,0.54,remote-admin,
2026-05-27T15:15:14+02:00,LM-106,battery warning,Halle-4,0.71,service,
2026-05-27T15:20:14+02:00,LM-107,route recalculated,Halle-1,0.88,system,
2026-05-27T15:25:14+02:00,LM-108,human detected,Halle-2,1.05,nachtmeister,
2026-05-27T15:30:14+02:00,LM-100,protective field reduced,Halle-3,1.22,remote-admin,
2026-05-27T15:35:14+02:00,LM-101,manual override,Halle-4,0.2,service,Parameter nicht abschließend plausibilisiert
2026-05-27T15:40:14+02:00,LM-102,near miss,Halle-1,0.37,system,
2026-05-27T15:45:14+02:00,LM-103,emergency stop,Halle-2,0.54,nachtmeister,
2026-05-27T15:50:14+02:00,LM-104,remote config sync,Halle-3,0.71,remote-admin,
2026-05-27T15:55:14+02:00,LM-105,battery warning,Halle-4,0.88,service,
2026-05-27T16:00:14+02:00,LM-106,route recalculated,Halle-1,1.05,system,
2026-05-27T16:05:14+02:00,LM-107,human detected,Halle-2,1.22,nachtmeister,
2026-05-27T16:10:14+02:00,LM-108,protective field reduced,Halle-3,0.2,remote-admin,
2026-05-27T16:15:14+02:00,LM-100,manual override,Halle-4,0.37,service,
2026-05-27T16:20:14+02:00,LM-101,near miss,Halle-1,0.54,system,
2026-05-27T16:25:14+02:00,LM-102,emergency stop,Halle-2,0.71,nachtmeister,
2026-05-27T16:30:14+02:00,LM-103,remote config sync,Halle-3,0.88,remote-admin,
2026-05-27T16:35:14+02:00,LM-104,battery warning,Halle-4,1.05,service,
2026-05-27T16:40:14+02:00,LM-105,route recalculated,Halle-1,1.22,system,Parameter nicht abschließend plausibilisiert
2026-05-27T16:45:14+02:00,LM-106,human detected,Halle-2,0.2,nachtmeister,
2026-05-27T16:50:14+02:00,LM-107,protective field reduced,Halle-3,0.37,remote-admin,
2026-05-27T16:55:14+02:00,LM-108,manual override,Halle-4,0.54,service,
2026-05-27T17:00:14+02:00,LM-100,near miss,Halle-1,0.71,system,
2026-05-27T17:05:14+02:00,LM-101,emergency stop,Halle-2,0.88,nachtmeister,
2026-05-27T17:10:14+02:00,LM-102,remote config sync,Halle-3,1.05,remote-admin,
2026-05-27T17:15:14+02:00,LM-103,battery warning,Halle-4,1.22,service,
2026-05-27T17:20:14+02:00,LM-104,route recalculated,Halle-1,0.2,system,
2026-05-27T17:25:14+02:00,LM-105,human detected,Halle-2,0.37,nachtmeister,
2026-05-27T17:30:14+02:00,LM-106,protective field reduced,Halle-3,0.54,remote-admin,
2026-05-27T17:35:14+02:00,LM-107,manual override,Halle-4,0.71,service,
2026-05-27T17:40:14+02:00,LM-108,near miss,Halle-1,0.88,system,
2026-05-27T17:45:14+02:00,LM-100,emergency stop,Halle-2,1.05,nachtmeister,Parameter nicht abschließend plausibilisiert
2026-05-27T17:50:14+02:00,LM-101,remote config sync,Halle-3,1.22,remote-admin,
2026-05-27T17:55:14+02:00,LM-102,battery warning,Halle-4,0.2,service,
2026-05-27T18:00:14+02:00,LM-103,route recalculated,Halle-1,0.37,system,
2026-05-27T18:05:14+02:00,LM-104,human detected,Halle-2,0.54,nachtmeister,
2026-05-27T18:10:14+02:00,LM-105,protective field reduced,Halle-3,0.71,remote-admin,
2026-05-27T18:15:14+02:00,LM-106,manual override,Halle-4,0.88,service,
2026-05-27T18:20:14+02:00,LM-107,near miss,Halle-1,1.05,system,
2026-05-27T18:25:14+02:00,LM-108,emergency stop,Halle-2,1.22,nachtmeister,
2026-05-27T18:30:14+02:00,LM-100,remote config sync,Halle-3,0.2,remote-admin,
2026-05-27T18:35:14+02:00,LM-101,battery warning,Halle-4,0.37,service,
2026-05-27T18:40:14+02:00,LM-102,route recalculated,Halle-1,0.54,system,
2026-05-27T18:45:14+02:00,LM-103,human detected,Halle-2,0.71,nachtmeister,
2026-05-27T18:50:14+02:00,LM-104,protective field reduced,Halle-3,0.88,remote-admin,Parameter nicht abschließend plausibilisiert
2026-05-27T18:55:14+02:00,LM-105,manual override,Halle-4,1.05,service,
2026-05-27T19:00:14+02:00,LM-106,near miss,Halle-1,1.22,system,
2026-05-27T19:05:14+02:00,LM-107,emergency stop,Halle-2,0.2,nachtmeister,
2026-05-27T19:10:14+02:00,LM-108,remote config sync,Halle-3,0.37,remote-admin,
2026-05-27T19:15:14+02:00,LM-100,battery warning,Halle-4,0.54,service,
2026-05-27T19:20:14+02:00,LM-101,route recalculated,Halle-1,0.71,system,
2026-05-27T19:25:14+02:00,LM-102,human detected,Halle-2,0.88,nachtmeister,
2026-05-27T19:30:14+02:00,LM-103,protective field reduced,Halle-3,1.05,remote-admin,
2026-05-27T19:35:14+02:00,LM-104,manual override,Halle-4,1.22,service,
2026-05-27T19:40:14+02:00,LM-105,near miss,Halle-1,0.2,system,
2026-05-27T19:45:14+02:00,LM-106,emergency stop,Halle-2,0.37,nachtmeister,
2026-05-27T19:50:14+02:00,LM-107,remote config sync,Halle-3,0.54,remote-admin,
2026-05-27T19:55:14+02:00,LM-108,battery warning,Halle-4,0.71,service,Parameter nicht abschließend plausibilisiert
2026-05-27T20:00:14+02:00,LM-100,route recalculated,Halle-1,0.88,system,
2026-05-27T20:05:14+02:00,LM-101,human detected,Halle-2,1.05,nachtmeister,
2026-05-27T20:10:14+02:00,LM-102,protective field reduced,Halle-3,1.22,remote-admin,
2026-05-27T20:15:14+02:00,LM-103,manual override,Halle-4,0.2,service,
2026-05-27T20:20:14+02:00,LM-104,near miss,Halle-1,0.37,system,
2026-05-27T20:25:14+02:00,LM-105,emergency stop,Halle-2,0.54,nachtmeister,
2026-05-27T20:30:14+02:00,LM-106,remote config sync,Halle-3,0.71,remote-admin,
2026-05-27T20:35:14+02:00,LM-107,battery warning,Halle-4,0.88,service,
2026-05-27T20:40:14+02:00,LM-108,route recalculated,Halle-1,1.05,system,
2026-05-27T20:45:14+02:00,LM-100,human detected,Halle-2,1.22,nachtmeister,
2026-05-27T20:50:14+02:00,LM-101,protective field reduced,Halle-3,0.2,remote-admin,
2026-05-27T20:55:14+02:00,LM-102,manual override,Halle-4,0.37,service,
2026-05-27T21:00:14+02:00,LM-103,near miss,Halle-1,0.54,system,Parameter nicht abschließend plausibilisiert
2026-05-27T21:05:14+02:00,LM-104,emergency stop,Halle-2,0.71,nachtmeister,
2026-05-27T21:10:14+02:00,LM-105,remote config sync,Halle-3,0.88,remote-admin,
2026-05-27T21:15:14+02:00,LM-106,battery warning,Halle-4,1.05,service,
